album,id,large,med,preview,small,song_name
She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition),1Jj6MF0xDOMA3Ut2Z368Bx,https://i.scdn.co/image/d3526b9bc42399d328a3f7a8608633ea7cd526e8,https://i.scdn.co/image/696b9b8c8193b6422cb1e9c49647bb741c70d01c,https://p.scdn.co/mp3-preview/0bd40c4c5f27548fd83f721380b99466c1c2094f?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/f7d98a61885c3bc21d99ed1f2991565e4dc084b2,Time After Time
What A Feeling,0aAR5HogGoT68EWFbyRFqx,https://i.scdn.co/image/3be11a061176e472067bd2f56d374432a2d064b3,https://i.scdn.co/image/580ac8203e8d110fdd1ec63632161d7014d71fe9,https://p.scdn.co/mp3-preview/bc6a35d8a3dbdbed0a7c7fde9a9ce6c4fc3207a6?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/17b30ac10bdfce4a7729c3c5cc4ee2e954055ffb,What A Feeling
Hooked On A Feeling,6Ac4NVYYl2U73QiTt11ZKd,https://i.scdn.co/image/6fb438f0655af291ac28900b1c75e75aa3d22989,https://i.scdn.co/image/90cba69ca91e475df0e3e7925276d54f4e5b3e04,https://p.scdn.co/mp3-preview/f4d2ded715803f9fe52b09bf38725b6a888ba45a?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/36781eedf859852a223eeb9346c44f6c7f31b0a2,Hooked on a Feeling
The Freewheelin' Bob Dylan,18GiV1BaXzPVYpp9rmOg0E,https://i.scdn.co/image/3c5967c04f83130f1ffbcb2ce971c81f21ff2f6f,https://i.scdn.co/image/2d2d778d68badfbcb9cfa3b12b2b47889f46c51e,https://p.scdn.co/mp3-preview/fc1dd43539f9fbdaa17a4b012d61d50864e6f1fa?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/191709f829fb6aecc59082fc613fadd533a86e8e,Blowin' In the Wind
Back In Black,2SiXAy7TuUkycRVbbWDEpo,https://i.scdn.co/image/52d83377fe9d7fc838deeb859499f3973adf903f,https://i.scdn.co/image/b7b31914e0c4951249fad37271248212c8ac3025,https://p.scdn.co/mp3-preview/2a200f628c41fadd1734ea7663f380659b93d826?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/184dd6719f7c5317a08505d4d67795583adfb392,You Shook Me All Night Long
My Love Essential Collection,6yw2pmCVpIwnyEnqdEuAaT,https://i.scdn.co/image/2ecfcc500b24588c1048698687cf25239e5069ff,https://i.scdn.co/image/b8a048ba3f12f1e31375fd2dd826ccc0fd14811a,https://p.scdn.co/mp3-preview/b98064ff7876dcefd0eca2fe5a5a24351cc27d5d?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/043bac38d2bc5d5247e80ad6f90eba462658f89c,"My Heart Will Go On - Love Theme from ""Titanic"""
War is the Answer,1UWGkn34CD31VQfdi4D8Zp,https://i.scdn.co/image/ce6180e56bfcbca64f50c14aa2f2ba8898c9f8e8,https://i.scdn.co/image/2bdc8b1d1a7ce15cb2a45809c2041d015bfb70e5,https://p.scdn.co/mp3-preview/c5f003381fb9810398a39b8146632fd98f24b41a?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/84a1fa256f512f5190cbc5482e806f4c869822c3,Bad Company
Stay Hungry,70Z9t1qhytWtG4cCmmi7mU,https://i.scdn.co/image/2a02f49aeb969a346525a5c410bff89eaa2579db,https://i.scdn.co/image/881e3254065ae5ecbc923536977462a8e619945b,https://p.scdn.co/mp3-preview/79a4a3dafaa7570ea888cc4dc7a9a049162986ef?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/79bfc4395b588a8c12c6d21b2c431eaeee53ffb2,I Wanna Rock
The Singles Plus,4mn2kNTqiGLwaUR8JdhJ1l,https://i.scdn.co/image/f9a69d3ba778956e2771113cce2d30f5e5f0408b,https://i.scdn.co/image/88700bc63cb257ed30da948f6cfa8ee68fa0f049,https://p.scdn.co/mp3-preview/da7cd6105e6aaf6339bfd62ce077cae0d255832a?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/2aec352b65ac984bae1fdca0b36bf0893e4cebe3,The House Of The Rising Sun
Led Zeppelin IV,51pQ7vY7WXzxskwloaeqyj,https://i.scdn.co/image/73b4f0ec5afb0716f65e9f121e7edbe92c46a908,https://i.scdn.co/image/f83337de55c46964886cb76127252ed16aba9e0e,https://p.scdn.co/mp3-preview/da57b9497b855355f1874eac17817d25eb90b71d?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/7b7289b06b56be2cc9244d0a53fa524bf438d2a8,Stairway To Heaven
It's Raining Men,6IOKrkLJQYDwCf6nthu8DB,https://i.scdn.co/image/c1bcd0bd19ff0f1f3be9b33865674af49dbfded2,https://i.scdn.co/image/b0e5215ca865a45b2327f5ce66bd2dfcc02b5772,https://p.scdn.co/mp3-preview/c066b72cc11941c415f41152b32c7428b47a1a9f?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/310ec473e3f9ac8993db971eca9290e5c600a9a2,It's Raining Men
Voices,4o6BgsqLIBViaGVbx5rbRk,https://i.scdn.co/image/b6f427125f28955c2419830d770977e452c10cd5,https://i.scdn.co/image/c2c30b6921377358d2c8f6042b7ac69f7e614edb,https://p.scdn.co/mp3-preview/771d17fd95b403d1cedf9337822038f31847dcf6?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/0cc680472a985c12b091b1c2a27d6d86f1c93f50,You Make My Dreams
British Steel,2RaA6kIcvomt77qlIgGhCT,https://i.scdn.co/image/2ef222e7f031aefc4b52cb1ec077e2e85b068819,https://i.scdn.co/image/702677c6c54834189293d117fcd4e14cc6fa343a,https://p.scdn.co/mp3-preview/2045675c3ff30411c283de17ddcf3952efd9234e?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/0326251067fe5b5dd805d6c28a83d2db83a62d56,Breaking the Law
The Eternal Dance,5nNmj1cLH3r4aA4XDJ2bgY,https://i.scdn.co/image/9a29e448a04544a6d05cec4f152333381bb96a0c,https://i.scdn.co/image/c6e16cafc38a72eaf953b4b828c1faa114190a43,https://p.scdn.co/mp3-preview/5fce831e28eb2ae69f1c44e340c2368c228e0764?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/08c2e3d7188bec1f2670d1adeaeca5a3a274ff29,September
The Bodyguard - Original Soundtrack Album,4eHbdreAnSOrDDsFfc4Fpm,https://i.scdn.co/image/967089a394a33b98836be3412f8ebf43f135628c,https://i.scdn.co/image/7406d595b677f5b628a13ba7bf65b608a7dd9646,https://p.scdn.co/mp3-preview/91e6d3e0b48cda2f3a1b2391a1c1384fbf73b8a8?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/2340f65699a19db968f3a86166027facd8fca8bb,I Will Always Love You
I Am,6ztstiyZL6FXzh4aG46ZPD,https://i.scdn.co/image/a74560fa9126d46f00b966708ac76c562017d0aa,https://i.scdn.co/image/35726103d22db1d508dbef9ee58490c2b6f6fd19,https://p.scdn.co/mp3-preview/b2d590fb86a0424a3f959033df1a92f9a6c325d4?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/a88c45856c07abc37b15533950452cdf8436a064,Boogie Wonderland
The Essential Daryl Hall & John Oates,169oHBed4Nj1Q073yu9bFB,https://i.scdn.co/image/9d2ef2bdffdbb2dcb011039ba9140135b71377e2,https://i.scdn.co/image/83b16f32034ec7e9d449379352fad28fca102608,https://p.scdn.co/mp3-preview/4f67fe24b9a6c3eec0e7a9fe6f8fa2348dc11d24?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/1c8febc08fab13d36f15ea0de931859fcfafbdcd,Out of Touch - Single Version
Just As I Am,1k1Bqnv2R0uJXQN4u6LKYt,https://i.scdn.co/image/57d0488448c8f0401e4f804d733af4f3f7b3c9ed,https://i.scdn.co/image/ba9ebe79a63e36a643bc35df0dcaec2034d6267a,https://p.scdn.co/mp3-preview/2f56920743ab7da6d3d6331868dd23bbe72cd063?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/9ee1d01e0238c66f625523a5b92e1b9013002beb,Ain't No Sunshine
Blur [Special Edition],1FTSo4v6BOZH9QxKc3MbVM,https://i.scdn.co/image/8598dd87ca83d963fb9c6295f42ebb883fbfd93f,https://i.scdn.co/image/ad88757ab4021ac6855bc3ef5befc45e98d539c7,https://p.scdn.co/mp3-preview/183c0855e94b58dcb267e2b0721d4a3c99260acf?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/20b1573959e395187900f335abe02258d8a5bc36,Song 2 - 2012 Remastered Version
Twenty Five,5qFPs70nZD1fQZOi7u7cIZ,https://i.scdn.co/image/4b9473369471a651b8173359780498fd7ab4e60f,https://i.scdn.co/image/592ba778da8d3ec3055ea15cd02d21d2c15873ff,https://p.scdn.co/mp3-preview/03505b02409a4f267b7f701063cfc49c5d536d77?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/87f3df8c77a454b565c698f98b1bee49da071b21,Wake Me Up Before You Go-Go - Remastered
Metal Health,3vV3cr2TpPqFk07zxYUbla,https://i.scdn.co/image/fd82920ca1031ec741c19a6b471d17e6228f26e8,https://i.scdn.co/image/4635c3548376f69b24dfdd547e54a55182904974,https://p.scdn.co/mp3-preview/9370cd947c91fac066bde113f6faac45cb7c89cd?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/ae1356e67382f9087fc38bb17a75336bf795919c,Cum on Feel the Noize
ReCovered Hits Volume 2,0p20xyAdYkaxAPWdXr0sir,https://i.scdn.co/image/3610a5890d0780ce8d845b3e3957247d22ce05f8,https://i.scdn.co/image/728d609f8c9c7e6b735a76508f08d4c2f01dd88e,https://p.scdn.co/mp3-preview/22ec55ac72d4ed8f20840e94f5204cf5d15c9c12?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/39accfd192c2605a755f5c65d698b41a1e5529ba,I Love Rock 'n' Roll
So Excited! (Expanded Edition),1ot6jEe4w4hYnsOPjd3xKQ,https://i.scdn.co/image/a9c7993961a0b1cb68553214e62a4abd493f370d,https://i.scdn.co/image/de078e1f7c5103f8d9be4538f5aeeb3a3ae0667f,https://p.scdn.co/mp3-preview/561e7f455013c0307a17b0551b95b1ae71a20375?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/94ff68b7f61c1d8b7fc58c550e392d02cb5b567a,I'm So Excited
20000 Watt RSL - The Midnight Oil Collection,6Nabz5Gsy80XL0MJoOmgF8,https://i.scdn.co/image/f7b2c378d3cd7ed3275a7f194508a93a633ef5ff,https://i.scdn.co/image/3d46ab5e2735cf21324e9d0e9c73e804464798c3,https://p.scdn.co/mp3-preview/c68dba22ba58c3d94eaf4de6dae5332bb23b421d?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/4dff56e12a2420fde9b943ba7627babefdea886e,Beds Are Burning - Remastered
No End In Sight: The Very Best Of Foreigner,3iM9wFGlyR28IBZrXYZK9j,https://i.scdn.co/image/ef93f5c919874b3f7cd347548e906a8a5252fc09,https://i.scdn.co/image/07be91c09f68af9a45ef95de8961e44ce3eb4020,https://p.scdn.co/mp3-preview/07b7615f80d77506ba909925df18aa3bb2842b27?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/f15248d3bf7e34d2739b9621a76e7c5b2df45751,Cold as Ice - 2008 Remaster
Still Bill,3M8FzayQWtkvOhqMn2V4T2,https://i.scdn.co/image/d459ac8a8e151bf20b23dfb3a47e524c7ab84178,https://i.scdn.co/image/27ef66dc66207fe02873fd651e3dc9d9541e94a7,https://p.scdn.co/mp3-preview/88034b6356a11c9bea4cca28d56a80efcc655ac4?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/a6f603977c9cf2e9fc1df005655c9d9c6c7b1fb6,Lean on Me
YMCA,54OR1VDpfkBuOY5zZjhZAY,https://i.scdn.co/image/bcee102b44d5e2ddc15e14adef8b095bbe766e05,https://i.scdn.co/image/e292ef10e45e81bad43d4f2a204637f90543e30a,https://p.scdn.co/mp3-preview/7c93511a2b7fee96e4e2a823e78d6b5b07aa07a9?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/19270a15b3598ea8f41df294489b475d2079a880,YMCA - Original Version 1978
Savage Garden,69hwHdKl4Y1HusAutt3W6q,https://i.scdn.co/image/16b25a1501596c3c0a8aa3b8facd71c8cdadc818,https://i.scdn.co/image/4ce17c9fd0c9c7a343874e628d5b5175cd770100,https://p.scdn.co/mp3-preview/d24fa7178eccb057ea3b9ccdac51584bfdcc8898?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/8f07ba1c8f20f325ed63db8a7a503e80627c60db,Truly Madly Deeply
High Voltage,7LRMbd3LEoV5wZJvXT1Lwb,https://i.scdn.co/image/d60d7c9a2cfe0b5b0ec254bf4f2e6397baa36148,https://i.scdn.co/image/9c9dd881b1350bd7ffa4510c692ea2f401b3be9b,https://p.scdn.co/mp3-preview/07370e75eaec4423362be7a5f420882ce260266d?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/97ec47f61993702de195ec89f335245fdbef9892,T.N.T.
