artists,songs,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,happy/sad
Jewel,You Were Meant For Me,0.582,0.33,6,-7.928,1,0.0347,0.791,1.48e-06,0.105,0.407,111.873,audio_features,6kBU9uWqar0Fw2Ws0he11A,spotify:track:6kBU9uWqar0Fw2Ws0he11A,https://api.spotify.com/v1/tracks/6kBU9uWqar0Fw2Ws0he11A,https://api.spotify.com/v1/audio-analysis/6kBU9uWqar0Fw2Ws0he11A,254480,4,0
The Communards,For A Friend,0.659,0.654,4,-7.689,0,0.0251,0.499,0.00328,0.345,0.663,130.167,audio_features,6Cfvxx7v5MxCzGQOXjxo35,spotify:track:6Cfvxx7v5MxCzGQOXjxo35,https://api.spotify.com/v1/tracks/6Cfvxx7v5MxCzGQOXjxo35,https://api.spotify.com/v1/audio-analysis/6Cfvxx7v5MxCzGQOXjxo35,303293,4,0
Toploader,Dancing in the Moonlight,0.639,0.845,10,-3.333,1,0.0372,0.0528,0,0.336,0.871,119.485,audio_features,1FHNctV68GUNLgXclG2DtR,spotify:track:1FHNctV68GUNLgXclG2DtR,https://api.spotify.com/v1/tracks/1FHNctV68GUNLgXclG2DtR,https://api.spotify.com/v1/audio-analysis/1FHNctV68GUNLgXclG2DtR,233373,4,1
Queen,These Are the Days of Our Lives,0.677,0.403,0,-9.457,1,0.0291,0.375,0.000269,0.0594,0.568,112.619,audio_features,2HpkD9J7t7xBaduVflpmqn,spotify:track:2HpkD9J7t7xBaduVflpmqn,https://api.spotify.com/v1/tracks/2HpkD9J7t7xBaduVflpmqn,https://api.spotify.com/v1/audio-analysis/2HpkD9J7t7xBaduVflpmqn,255040,4,0
Cascada,Because the Night - Nightcore Edit,0.54,0.954,1,-7.751,1,0.108,0.00934,0.0705,0.337,0.358,175.043,audio_features,2AmsekQ0WLnjrcn9Ukz55J,spotify:track:2AmsekQ0WLnjrcn9Ukz55J,https://api.spotify.com/v1/tracks/2AmsekQ0WLnjrcn9Ukz55J,https://api.spotify.com/v1/audio-analysis/2AmsekQ0WLnjrcn9Ukz55J,162789,4,1
Rolling Stones,As Tears Go By,0.346,0.305,7,-9.189,1,0.0289,0.729,0.00252,0.2,0.352,112.899,audio_features,0TW8F75cpQuGUtgcKNmOEJ,spotify:track:0TW8F75cpQuGUtgcKNmOEJ,https://api.spotify.com/v1/tracks/0TW8F75cpQuGUtgcKNmOEJ,https://api.spotify.com/v1/audio-analysis/0TW8F75cpQuGUtgcKNmOEJ,166267,4,0
Tim McGraw,Felt Good On My Lips,0.56,0.891,3,-3.937,1,0.0457,0.0242,1.33e-06,0.181,0.603,136.006,audio_features,1cgSzTuw67ZOMqQ94ZuMQ2,spotify:track:1cgSzTuw67ZOMqQ94ZuMQ2,https://api.spotify.com/v1/tracks/1cgSzTuw67ZOMqQ94ZuMQ2,https://api.spotify.com/v1/audio-analysis/1cgSzTuw67ZOMqQ94ZuMQ2,246133,4,1
G-Unit,Let It Go,0.388,0.913,10,-6.042,0,0.433,0.00875,0,0.143,0.565,170.489,audio_features,3xGks4eT6BUq9Mb06W5ezA,spotify:track:3xGks4eT6BUq9Mb06W5ezA,https://api.spotify.com/v1/tracks/3xGks4eT6BUq9Mb06W5ezA,https://api.spotify.com/v1/audio-analysis/3xGks4eT6BUq9Mb06W5ezA,186013,4,1
Rolling Stones,Happy,0.555,0.897,4,-3.469,1,0.0293,0.361,0.94,0.536,0.965,131.712,audio_features,5fXRPS1tp70DbqsBZVyG4e,spotify:track:5fXRPS1tp70DbqsBZVyG4e,https://api.spotify.com/v1/tracks/5fXRPS1tp70DbqsBZVyG4e,https://api.spotify.com/v1/audio-analysis/5fXRPS1tp70DbqsBZVyG4e,184627,4,1
Lost Frequencies,Beautiful Life,0.732,0.52,2,-6.684,0,0.0376,0.127,0.0347,0.139,0.339,119.979,audio_features,3bAsAMBEZQ6xq8ayU38kiu,spotify:track:3bAsAMBEZQ6xq8ayU38kiu,https://api.spotify.com/v1/tracks/3bAsAMBEZQ6xq8ayU38kiu,https://api.spotify.com/v1/audio-analysis/3bAsAMBEZQ6xq8ayU38kiu,161464,4,1
UK Maniax,I'm A Raver - Energizer Vs. Raindropz! Radio Edit,0.515,0.978,8,-5.216,0,0.0391,0.0122,0.00582,0.104,0.524,145.002,audio_features,6WQyOir8FN0vB2x8hv3ouo,spotify:track:6WQyOir8FN0vB2x8hv3ouo,https://api.spotify.com/v1/tracks/6WQyOir8FN0vB2x8hv3ouo,https://api.spotify.com/v1/audio-analysis/6WQyOir8FN0vB2x8hv3ouo,206897,4,1
Of Monsters and Men,Dirty Paws,0.359,0.648,3,-7.06,1,0.035,0.108,0.0135,0.0555,0.133,111.733,audio_features,5g7rJvWYVrloJZwKiShqlS,spotify:track:5g7rJvWYVrloJZwKiShqlS,https://api.spotify.com/v1/tracks/5g7rJvWYVrloJZwKiShqlS,https://api.spotify.com/v1/audio-analysis/5g7rJvWYVrloJZwKiShqlS,278373,4,1
Electric Light Orchestra,Last Train to London,0.727,0.537,7,-9.785,1,0.0295,0.396,0.000789,0.349,0.954,121.493,audio_features,6xE6ZWzK1YDDSYzqOCoQlz,spotify:track:6xE6ZWzK1YDDSYzqOCoQlz,https://api.spotify.com/v1/tracks/6xE6ZWzK1YDDSYzqOCoQlz,https://api.spotify.com/v1/audio-analysis/6xE6ZWzK1YDDSYzqOCoQlz,270067,4,1
Julien Baker,Stay Down,0.332,0.375,7,-9.092,1,0.0272,0.505,5.44e-05,0.0945,0.166,165.775,audio_features,1C8jHaMeJeXLjrN9Ys7qk1,spotify:track:1C8jHaMeJeXLjrN9Ys7qk1,https://api.spotify.com/v1/tracks/1C8jHaMeJeXLjrN9Ys7qk1,https://api.spotify.com/v1/audio-analysis/1C8jHaMeJeXLjrN9Ys7qk1,240983,4,0
My Birthday,Happy Birthday (TIJN),0.566,0.912,2,-5.714,1,0.0418,0.0445,0,0.358,0.872,167.979,audio_features,5o4f1YBroyt80jgQ6eVs5w,spotify:track:5o4f1YBroyt80jgQ6eVs5w,https://api.spotify.com/v1/tracks/5o4f1YBroyt80jgQ6eVs5w,https://api.spotify.com/v1/audio-analysis/5o4f1YBroyt80jgQ6eVs5w,178050,4,1
John Williams,Aunt Marge's Waltz,0.504,0.197,7,-21.207,1,0.0436,0.9,0.913,0.324,0.486,155.864,audio_features,3v4O5D704CYOEbjKMwaqMc,spotify:track:3v4O5D704CYOEbjKMwaqMc,https://api.spotify.com/v1/tracks/3v4O5D704CYOEbjKMwaqMc,https://api.spotify.com/v1/audio-analysis/3v4O5D704CYOEbjKMwaqMc,135360,3,1
The Beach Boys,We Three Kings Of Orient Are - 1991 Remix,0.218,0.176,10,-12.129,1,0.033,0.622,9.31e-06,0.123,0.202,116.829,audio_features,7kwsVqyBgktPAfFYBb57lu,spotify:track:7kwsVqyBgktPAfFYBb57lu,https://api.spotify.com/v1/tracks/7kwsVqyBgktPAfFYBb57lu,https://api.spotify.com/v1/audio-analysis/7kwsVqyBgktPAfFYBb57lu,244613,4,1
Blur,Song 2,0.658,0.709,8,-6.736,1,0.0904,0.00188,0.00447,0.0657,0.855,129.699,audio_features,3GfOAdcoc3X5GPiiXmpBjK,spotify:track:3GfOAdcoc3X5GPiiXmpBjK,https://api.spotify.com/v1/tracks/3GfOAdcoc3X5GPiiXmpBjK,https://api.spotify.com/v1/audio-analysis/3GfOAdcoc3X5GPiiXmpBjK,121880,4,1
Greyson Chance,Good as Gold,0.473,0.587,2,-6.155,1,0.0383,0.301,0,0.104,0.246,169.935,audio_features,5bdPZNRLtytNqjUmSr4S0P,spotify:track:5bdPZNRLtytNqjUmSr4S0P,https://api.spotify.com/v1/tracks/5bdPZNRLtytNqjUmSr4S0P,https://api.spotify.com/v1/audio-analysis/5bdPZNRLtytNqjUmSr4S0P,205747,4,0
X-Cess!,Hot in the Club - Marc Korn Hands Up Remix Edit,0.575,0.954,3,-6.429,1,0.0414,0.00675,0.0212,0.335,0.37,140.022,audio_features,5vMjZSuOhPrSeGebuGJouB,spotify:track:5vMjZSuOhPrSeGebuGJouB,https://api.spotify.com/v1/tracks/5vMjZSuOhPrSeGebuGJouB,https://api.spotify.com/v1/audio-analysis/5vMjZSuOhPrSeGebuGJouB,201536,4,1
Kenny Chesney,She's Got It All,0.709,0.811,7,-6.603,1,0.0323,0.093,1.08e-05,0.1,0.735,132.728,audio_features,4l8u5h7OjkZo2UmyUoeKYJ,spotify:track:4l8u5h7OjkZo2UmyUoeKYJ,https://api.spotify.com/v1/tracks/4l8u5h7OjkZo2UmyUoeKYJ,https://api.spotify.com/v1/audio-analysis/4l8u5h7OjkZo2UmyUoeKYJ,205093,4,1
My Birthday,Happy Birthday (BOAZ),0.562,0.906,2,-5.537,1,0.0446,0.0381,0,0.358,0.869,167.971,audio_features,7HzVQxAgX3oQPRhNi3lWJm,spotify:track:7HzVQxAgX3oQPRhNi3lWJm,https://api.spotify.com/v1/tracks/7HzVQxAgX3oQPRhNi3lWJm,https://api.spotify.com/v1/audio-analysis/7HzVQxAgX3oQPRhNi3lWJm,178050,4,1
Kicking Sunrise,Sky High,0.667,0.847,7,-7.616,0,0.0521,0.00174,0,0.51,0.621,119.024,audio_features,3yQIUiNJEoZPodN1h6YUBP,spotify:track:3yQIUiNJEoZPodN1h6YUBP,https://api.spotify.com/v1/tracks/3yQIUiNJEoZPodN1h6YUBP,https://api.spotify.com/v1/audio-analysis/3yQIUiNJEoZPodN1h6YUBP,217035,4,1
Katy Perry,Firework,0.638,0.826,8,-4.968,1,0.0479,0.139,0,0.0803,0.649,124.072,audio_features,4lCv7b86sLynZbXhfScfm2,spotify:track:4lCv7b86sLynZbXhfScfm2,https://api.spotify.com/v1/tracks/4lCv7b86sLynZbXhfScfm2,https://api.spotify.com/v1/audio-analysis/4lCv7b86sLynZbXhfScfm2,227880,4,1
Manian,Cinderella - Ryan T. & Rick M. Nightcore Edit,0.511,0.952,0,-4.736,1,0.179,0.0359,2.16e-05,0.345,0.425,174.012,audio_features,6lkqv25cS4OJY5SfcfEHOn,spotify:track:6lkqv25cS4OJY5SfcfEHOn,https://api.spotify.com/v1/tracks/6lkqv25cS4OJY5SfcfEHOn,https://api.spotify.com/v1/audio-analysis/6lkqv25cS4OJY5SfcfEHOn,162347,4,1
Michael Bublé,Have Yourself A Merry Little Christmas,0.275,0.276,9,-11.395,1,0.0321,0.602,0.00167,0.121,0.195,68.764,audio_features,1DnSNqCQM3LUxqFuXt184Q,spotify:track:1DnSNqCQM3LUxqFuXt184Q,https://api.spotify.com/v1/tracks/1DnSNqCQM3LUxqFuXt184Q,https://api.spotify.com/v1/audio-analysis/1DnSNqCQM3LUxqFuXt184Q,230307,3,1
Simple Minds,Don't You (Forget About Me),0.672,0.792,2,-7.033,1,0.0264,0.0843,0.0605,0.302,0.683,111.277,audio_features,0A4PZuepTcIQVvA5m7R0M1,spotify:track:0A4PZuepTcIQVvA5m7R0M1,https://api.spotify.com/v1/tracks/0A4PZuepTcIQVvA5m7R0M1,https://api.spotify.com/v1/audio-analysis/0A4PZuepTcIQVvA5m7R0M1,260680,4,1
Dmitri Shostakovich,"Hamlet Suite, Op. 116a: Story of Horatio and the Ghost",0.0803,0.00619,5,-40.162,1,0.0381,0.943,0.676,0.111,0.0928,82.558,audio_features,0cpOdI17BkkiP2BgvA3bjr,spotify:track:0cpOdI17BkkiP2BgvA3bjr,https://api.spotify.com/v1/tracks/0cpOdI17BkkiP2BgvA3bjr,https://api.spotify.com/v1/audio-analysis/0cpOdI17BkkiP2BgvA3bjr,141640,4,1
Manu Chao,Me Gustas TÚ,0.658,0.741,11,-6.81,0,0.0816,0.626,0.361,0.216,0.909,175.978,audio_features,4tFp1lNlkHiJjtUuL6h3K9,spotify:track:4tFp1lNlkHiJjtUuL6h3K9,https://api.spotify.com/v1/tracks/4tFp1lNlkHiJjtUuL6h3K9,https://api.spotify.com/v1/audio-analysis/4tFp1lNlkHiJjtUuL6h3K9,239987,4,1
Bruce Channel,Hey! Baby - Single Version,0.644,0.513,9,-10.171,1,0.0398,0.445,0,0.363,0.687,130.035,audio_features,75MM2mvsYaztCFZ08vmZ63,spotify:track:75MM2mvsYaztCFZ08vmZ63,https://api.spotify.com/v1/tracks/75MM2mvsYaztCFZ08vmZ63,https://api.spotify.com/v1/audio-analysis/75MM2mvsYaztCFZ08vmZ63,142320,4,1
James Barre,She Said,0.331,0.6,8,-6.782,1,0.0861,0.504,0,0.121,0.233,81.293,audio_features,17N5d5vr9HlnKL15ZBylcL,spotify:track:17N5d5vr9HlnKL15ZBylcL,https://api.spotify.com/v1/tracks/17N5d5vr9HlnKL15ZBylcL,https://api.spotify.com/v1/audio-analysis/17N5d5vr9HlnKL15ZBylcL,198416,5,0
Michael Bublé,It's Beginning To Look A Lot Like Christmas,0.35,0.232,4,-11.042,1,0.0331,0.907,9.21e-06,0.292,0.381,93.269,audio_features,0lLdorYw7lVrJydTINhWdI,spotify:track:0lLdorYw7lVrJydTINhWdI,https://api.spotify.com/v1/tracks/0lLdorYw7lVrJydTINhWdI,https://api.spotify.com/v1/audio-analysis/0lLdorYw7lVrJydTINhWdI,206347,3,1
LAUREL,Lovesick,0.564,0.63,6,-5.048,0,0.0527,0.853,1.97e-05,0.149,0.423,112.719,audio_features,03QBeAiAt3kUZgcBURL7xB,spotify:track:03QBeAiAt3kUZgcBURL7xB,https://api.spotify.com/v1/tracks/03QBeAiAt3kUZgcBURL7xB,https://api.spotify.com/v1/audio-analysis/03QBeAiAt3kUZgcBURL7xB,210957,4,0
