artists,songs,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,happy/sad
Twin Forks,Back To You,0.547,0.848,2,-5.622,1,0.068,0.00594,0,0.0743,0.393,128.987,audio_features,4l94386YhnCzduk44xzFRx,spotify:track:4l94386YhnCzduk44xzFRx,https://api.spotify.com/v1/tracks/4l94386YhnCzduk44xzFRx,https://api.spotify.com/v1/audio-analysis/4l94386YhnCzduk44xzFRx,170960,4,1
Avicii,Waiting For Love,0.579,0.736,6,-3.863,0,0.0527,0.31,0,0.198,0.613,127.999,audio_features,2P4OICZRVAQcYAV2JReRfj,spotify:track:2P4OICZRVAQcYAV2JReRfj,https://api.spotify.com/v1/tracks/2P4OICZRVAQcYAV2JReRfj,https://api.spotify.com/v1/audio-analysis/2P4OICZRVAQcYAV2JReRfj,230613,4,1
Ace of Base,Beautiful Life,0.741,0.953,0,-6.969,0,0.0333,0.202,0.00684,0.0954,0.735,135.002,audio_features,1GwdUrz7DujSedNxnzVfqI,spotify:track:1GwdUrz7DujSedNxnzVfqI,https://api.spotify.com/v1/tracks/1GwdUrz7DujSedNxnzVfqI,https://api.spotify.com/v1/audio-analysis/1GwdUrz7DujSedNxnzVfqI,219307,4,1
George Jones,She Thinks I Still Care,0.552,0.362,11,-9.847,1,0.0297,0.642,0,0.124,0.639,115.023,audio_features,5pwqtpAazoPh1G3txEIPAB,spotify:track:5pwqtpAazoPh1G3txEIPAB,https://api.spotify.com/v1/tracks/5pwqtpAazoPh1G3txEIPAB,https://api.spotify.com/v1/audio-analysis/5pwqtpAazoPh1G3txEIPAB,153333,4,0
Merle Haggard,You Take Me for Granted,0.398,0.285,4,-16.119,1,0.0314,0.55,4.5e-06,0.157,0.191,78.963,audio_features,1VOlrwdQwP2k7Cx9QfVnWD,spotify:track:1VOlrwdQwP2k7Cx9QfVnWD,https://api.spotify.com/v1/tracks/1VOlrwdQwP2k7Cx9QfVnWD,https://api.spotify.com/v1/audio-analysis/1VOlrwdQwP2k7Cx9QfVnWD,160827,3,0
Granville Bantock,"12 Piano Pieces: No. 4, Scherzo",0.291,0.042,4,-27.954,0,0.0326,0.984,0.857,0.215,0.216,67.064,audio_features,03jbDX0xpBMVSAnVjpseSj,spotify:track:03jbDX0xpBMVSAnVjpseSj,https://api.spotify.com/v1/tracks/03jbDX0xpBMVSAnVjpseSj,https://api.spotify.com/v1/audio-analysis/03jbDX0xpBMVSAnVjpseSj,107600,4,1
Lil Peep,Cry Alone,0.637,0.856,1,-5.649,1,0.0337,0.0366,0.0308,0.0809,0.285,160.068,audio_features,4uHscE8VF6F6mKU3ECjIKr,spotify:track:4uHscE8VF6F6mKU3ECjIKr,https://api.spotify.com/v1/tracks/4uHscE8VF6F6mKU3ECjIKr,https://api.spotify.com/v1/audio-analysis/4uHscE8VF6F6mKU3ECjIKr,167107,4,1
The Beatles,The Word - Remastered 2009,0.59,0.641,0,-9.687,1,0.0416,0.00682,0,0.0553,0.792,120.773,audio_features,4GBaPHvAyj4V2jeobD9tsy,spotify:track:4GBaPHvAyj4V2jeobD9tsy,https://api.spotify.com/v1/tracks/4GBaPHvAyj4V2jeobD9tsy,https://api.spotify.com/v1/audio-analysis/4GBaPHvAyj4V2jeobD9tsy,163107,4,1
OneRepublic,Connection,0.611,0.602,5,-4.89,1,0.0437,0.000837,0,0.112,0.624,168.154,audio_features,3T4UodGkfZObJ43RtA5KFU,spotify:track:3T4UodGkfZObJ43RtA5KFU,https://api.spotify.com/v1/tracks/3T4UodGkfZObJ43RtA5KFU,https://api.spotify.com/v1/audio-analysis/3T4UodGkfZObJ43RtA5KFU,148460,4,1
Cigarettes After Sex,Sesame Syrup,0.237,0.412,4,-11.384,1,0.0299,0.0417,0.451,0.107,0.364,186.955,audio_features,73ROvjXlrsrDcNmCurwWOF,spotify:track:73ROvjXlrsrDcNmCurwWOF,https://api.spotify.com/v1/tracks/73ROvjXlrsrDcNmCurwWOF,https://api.spotify.com/v1/audio-analysis/73ROvjXlrsrDcNmCurwWOF,303297,4,0
Eric Church,Talladega,0.584,0.672,1,-8.309,1,0.0294,0.0538,0.0481,0.0885,0.556,144.0,audio_features,1TKlBK9cSrM5u4CiL4SETS,spotify:track:1TKlBK9cSrM5u4CiL4SETS,https://api.spotify.com/v1/tracks/1TKlBK9cSrM5u4CiL4SETS,https://api.spotify.com/v1/audio-analysis/1TKlBK9cSrM5u4CiL4SETS,262280,4,1
Pyotr Ilyich Tchaikovsky,"The Nutcracker, Op. 71: Act II Tableau 3: Variation 2: Dance of the Sugar-Plum Fairy",0.323,0.0114,4,-38.855,0,0.0343,0.893,0.652,0.171,0.134,112.378,audio_features,3C4JNyv2NAT72xm0cDKl0v,spotify:track:3C4JNyv2NAT72xm0cDKl0v,https://api.spotify.com/v1/tracks/3C4JNyv2NAT72xm0cDKl0v,https://api.spotify.com/v1/audio-analysis/3C4JNyv2NAT72xm0cDKl0v,141373,4,1
Ella Fitzgerald,Frosty The Snowman,0.566,0.497,8,-7.424,1,0.0514,0.768,0,0.277,0.846,76.532,audio_features,76nIlhb7sx9W9ceQKVKreg,spotify:track:76nIlhb7sx9W9ceQKVKreg,https://api.spotify.com/v1/tracks/76nIlhb7sx9W9ceQKVKreg,https://api.spotify.com/v1/audio-analysis/76nIlhb7sx9W9ceQKVKreg,131733,4,1
Kanye West,Love Lockdown,0.76,0.524,1,-7.67,0,0.0323,0.0542,0.5,0.112,0.112,119.603,audio_features,4xMBL6zax57S2EHzI2Vloy,spotify:track:4xMBL6zax57S2EHzI2Vloy,https://api.spotify.com/v1/tracks/4xMBL6zax57S2EHzI2Vloy,https://api.spotify.com/v1/audio-analysis/4xMBL6zax57S2EHzI2Vloy,270307,4,1
T-Pain,Bartender,0.675,0.394,8,-8.539,1,0.133,0.0611,0,0.214,0.405,104.987,audio_features,5kxddRG1RZaZROadk7iC4D,spotify:track:5kxddRG1RZaZROadk7iC4D,https://api.spotify.com/v1/tracks/5kxddRG1RZaZROadk7iC4D,https://api.spotify.com/v1/audio-analysis/5kxddRG1RZaZROadk7iC4D,238800,4,1
Keith Sweat,Why Me Baby,0.725,0.613,5,-7.116,0,0.0275,0.015,3.97e-06,0.0852,0.393,132.765,audio_features,1VuMn6mB0xEzgWq48EmMZM,spotify:track:1VuMn6mB0xEzgWq48EmMZM,https://api.spotify.com/v1/tracks/1VuMn6mB0xEzgWq48EmMZM,https://api.spotify.com/v1/audio-analysis/1VuMn6mB0xEzgWq48EmMZM,253253,4,0
David Guetta,Flames,0.609,0.726,5,-4.346,0,0.0414,0.0723,8.45e-06,0.0895,0.362,93.958,audio_features,33IOhptvC2Qoy2UhjiHXLV,spotify:track:33IOhptvC2Qoy2UhjiHXLV,https://api.spotify.com/v1/tracks/33IOhptvC2Qoy2UhjiHXLV,https://api.spotify.com/v1/audio-analysis/33IOhptvC2Qoy2UhjiHXLV,195000,4,1
Vau Boy,Indiana 2016 (feat. viewtifulday),0.268,0.937,4,-4.197,0,0.246,0.00231,0.00636,0.183,0.0872,170.3,audio_features,4hU6FQqh6xJShgtgR8yJL2,spotify:track:4hU6FQqh6xJShgtgR8yJL2,https://api.spotify.com/v1/tracks/4hU6FQqh6xJShgtgR8yJL2,https://api.spotify.com/v1/audio-analysis/4hU6FQqh6xJShgtgR8yJL2,215432,4,1
Marco Juliano,I Wanna Be Your Star - Nightcore Edit,0.479,0.952,0,-4.835,1,0.0652,0.0106,0.0109,0.335,0.559,170.36,audio_features,1aSQsrgKQd6E6IjWDR9VYb,spotify:track:1aSQsrgKQd6E6IjWDR9VYb,https://api.spotify.com/v1/tracks/1aSQsrgKQd6E6IjWDR9VYb,https://api.spotify.com/v1/audio-analysis/1aSQsrgKQd6E6IjWDR9VYb,160370,4,1
E-Type,Life - Radio Version,0.591,0.993,3,-2.896,0,0.0368,0.00493,0.0639,0.158,0.938,137.001,audio_features,41Ef0PikCCRBcIM8O0t5HK,spotify:track:41Ef0PikCCRBcIM8O0t5HK,https://api.spotify.com/v1/tracks/41Ef0PikCCRBcIM8O0t5HK,https://api.spotify.com/v1/audio-analysis/41Ef0PikCCRBcIM8O0t5HK,222040,4,1
50 Cent,Disco Inferno,0.915,0.564,2,-8.042,0,0.257,0.209,7.17e-05,0.202,0.686,97.048,audio_features,74jBzIOqDzIF9NdMKvuX2W,spotify:track:74jBzIOqDzIF9NdMKvuX2W,https://api.spotify.com/v1/tracks/74jBzIOqDzIF9NdMKvuX2W,https://api.spotify.com/v1/audio-analysis/74jBzIOqDzIF9NdMKvuX2W,213680,4,1
Good Old War,Coney Island,0.619,0.741,5,-7.186,1,0.0444,0.393,0,0.079,0.923,99.475,audio_features,5jnekVPgf12EsKtBX3JPTW,spotify:track:5jnekVPgf12EsKtBX3JPTW,https://api.spotify.com/v1/tracks/5jnekVPgf12EsKtBX3JPTW,https://api.spotify.com/v1/audio-analysis/5jnekVPgf12EsKtBX3JPTW,163840,4,1
Rick Springfield,Jessie's Girl,0.688,0.706,2,-7.925,1,0.042,0.0752,0,0.0924,0.842,131.705,audio_features,0TF3F5Lw5apoD1zvR8LikO,spotify:track:0TF3F5Lw5apoD1zvR8LikO,https://api.spotify.com/v1/tracks/0TF3F5Lw5apoD1zvR8LikO,https://api.spotify.com/v1/audio-analysis/0TF3F5Lw5apoD1zvR8LikO,192867,4,1
Jo Stafford,Christmas Is The Season,0.602,0.216,9,-15.867,1,0.0334,0.559,0,0.139,0.562,75.404,audio_features,0dfG8Urzin8sRZXhERIklG,spotify:track:0dfG8Urzin8sRZXhERIklG,https://api.spotify.com/v1/tracks/0dfG8Urzin8sRZXhERIklG,https://api.spotify.com/v1/audio-analysis/0dfG8Urzin8sRZXhERIklG,109160,4,1
Counting Crows,A Long December,0.398,0.591,5,-6.925,1,0.0298,0.469,0.000588,0.337,0.425,142.336,audio_features,1tjKIXd7DYNklhVSgBxREi,spotify:track:1tjKIXd7DYNklhVSgBxREi,https://api.spotify.com/v1/tracks/1tjKIXd7DYNklhVSgBxREi,https://api.spotify.com/v1/audio-analysis/1tjKIXd7DYNklhVSgBxREi,295067,4,0
Louis Armstrong,Winter Wonderland - Single Version,0.451,0.158,1,-14.949,1,0.0489,0.766,0,0.203,0.423,76.372,audio_features,3g5fIJFJqNvqWQLoZoZv7Y,spotify:track:3g5fIJFJqNvqWQLoZoZv7Y,https://api.spotify.com/v1/tracks/3g5fIJFJqNvqWQLoZoZv7Y,https://api.spotify.com/v1/audio-analysis/3g5fIJFJqNvqWQLoZoZv7Y,179733,4,1
Harry Chapin,Taxi,0.599,0.427,7,-11.075,1,0.0312,0.545,9.65e-06,0.0609,0.484,118.714,audio_features,2JeY3psFuGlecBSw2kOIR1,spotify:track:2JeY3psFuGlecBSw2kOIR1,https://api.spotify.com/v1/tracks/2JeY3psFuGlecBSw2kOIR1,https://api.spotify.com/v1/audio-analysis/2JeY3psFuGlecBSw2kOIR1,406147,4,0
Post Malone,Takin' Shots,0.767,0.625,5,-6.193,1,0.0836,0.597,0,0.409,0.577,120.092,audio_features,5ffntNJnJOeFv7b7DCd0Bw,spotify:track:5ffntNJnJOeFv7b7DCd0Bw,https://api.spotify.com/v1/tracks/5ffntNJnJOeFv7b7DCd0Bw,https://api.spotify.com/v1/audio-analysis/5ffntNJnJOeFv7b7DCd0Bw,216747,4,0
Chris Young,Neon,0.6,0.599,0,-6.102,1,0.0276,0.401,0,0.102,0.496,99.05,audio_features,575wNG8uXiF5jjaSdWqdxZ,spotify:track:575wNG8uXiF5jjaSdWqdxZ,https://api.spotify.com/v1/tracks/575wNG8uXiF5jjaSdWqdxZ,https://api.spotify.com/v1/audio-analysis/575wNG8uXiF5jjaSdWqdxZ,224160,4,1
The Clash,Should I Stay or Should I Go,0.722,0.794,2,-11.009,1,0.0655,0.259,0,0.788,0.799,112.61,audio_features,5oVd20ddRqp5yenSA0E6u1,spotify:track:5oVd20ddRqp5yenSA0E6u1,https://api.spotify.com/v1/tracks/5oVd20ddRqp5yenSA0E6u1,https://api.spotify.com/v1/audio-analysis/5oVd20ddRqp5yenSA0E6u1,187893,4,1
Life of Dillon,Overload,0.665,0.758,8,-4.943,1,0.0301,0.00346,3.43e-05,0.0795,0.488,126.057,audio_features,5iukFyne3KAXsglJeByip0,spotify:track:5iukFyne3KAXsglJeByip0,https://api.spotify.com/v1/tracks/5iukFyne3KAXsglJeByip0,https://api.spotify.com/v1/audio-analysis/5iukFyne3KAXsglJeByip0,211440,4,1
Radiohead,Morning Bell,0.645,0.462,2,-12.124,1,0.0319,0.719,0.291,0.34,0.391,142.137,audio_features,1HQYo8C5L0qd1p5f1anXPS,spotify:track:1HQYo8C5L0qd1p5f1anXPS,https://api.spotify.com/v1/tracks/1HQYo8C5L0qd1p5f1anXPS,https://api.spotify.com/v1/audio-analysis/1HQYo8C5L0qd1p5f1anXPS,275800,5,0
Freya Ridings,Lost Without You,0.409,0.137,6,-9.169,1,0.0446,0.928,0,0.0706,0.106,162.08,audio_features,26z6V1SijQq6J3gPIu1H7t,spotify:track:26z6V1SijQq6J3gPIu1H7t,https://api.spotify.com/v1/tracks/26z6V1SijQq6J3gPIu1H7t,https://api.spotify.com/v1/audio-analysis/26z6V1SijQq6J3gPIu1H7t,225076,1,0
Paul Simon,Me and Julio Down by the Schoolyard,0.626,0.816,9,-10.593,1,0.13,0.237,1.8e-06,0.104,0.798,105.33,audio_features,6vxHp3CDNo0afgKGp2yi1E,spotify:track:6vxHp3CDNo0afgKGp2yi1E,https://api.spotify.com/v1/tracks/6vxHp3CDNo0afgKGp2yi1E,https://api.spotify.com/v1/audio-analysis/6vxHp3CDNo0afgKGp2yi1E,164813,4,1
My Birthday,Happy Birthday (NOAH),0.559,0.907,2,-5.523,1,0.0428,0.0387,0,0.356,0.852,168.035,audio_features,3rEM7O2moH0welz9xlHVum,spotify:track:3rEM7O2moH0welz9xlHVum,https://api.spotify.com/v1/tracks/3rEM7O2moH0welz9xlHVum,https://api.spotify.com/v1/audio-analysis/3rEM7O2moH0welz9xlHVum,178050,4,1
Sly & The Family Stone,Everyday People,0.814,0.514,7,-11.571,1,0.0295,0.255,0.0471,0.0605,0.787,114.06,audio_features,1orD9IAKp9MotxkDEhl6Mr,spotify:track:1orD9IAKp9MotxkDEhl6Mr,https://api.spotify.com/v1/tracks/1orD9IAKp9MotxkDEhl6Mr,https://api.spotify.com/v1/audio-analysis/1orD9IAKp9MotxkDEhl6Mr,141267,4,1
Felix Cartal,Get What You Give,0.626,0.748,1,-5.899,1,0.0345,0.0143,0,0.123,0.223,121.067,audio_features,7Kur4cXMHU8KE1AHKQD7w7,spotify:track:7Kur4cXMHU8KE1AHKQD7w7,https://api.spotify.com/v1/tracks/7Kur4cXMHU8KE1AHKQD7w7,https://api.spotify.com/v1/audio-analysis/7Kur4cXMHU8KE1AHKQD7w7,219174,4,1
Scoop,Drop it - Radio Mix,0.775,0.87,5,-5.163,0,0.0484,0.0354,0.85,0.0431,0.591,135.943,audio_features,1goPmZIGgpNmDngQ60oMy4,spotify:track:1goPmZIGgpNmDngQ60oMy4,https://api.spotify.com/v1/tracks/1goPmZIGgpNmDngQ60oMy4,https://api.spotify.com/v1/audio-analysis/1goPmZIGgpNmDngQ60oMy4,223600,4,1
Eagles,The Last Resort,0.549,0.28,7,-10.692,1,0.0311,0.474,0.0612,0.16,0.299,125.83,audio_features,0MrZG1nTNQVzeSJKi6gFVF,spotify:track:0MrZG1nTNQVzeSJKi6gFVF,https://api.spotify.com/v1/tracks/0MrZG1nTNQVzeSJKi6gFVF,https://api.spotify.com/v1/audio-analysis/0MrZG1nTNQVzeSJKi6gFVF,444912,4,0
Miley Cyrus,Party In The U.S.A.,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,audio_features,3E7dfMvvCLUddWissuqMwr,spotify:track:3E7dfMvvCLUddWissuqMwr,https://api.spotify.com/v1/tracks/3E7dfMvvCLUddWissuqMwr,https://api.spotify.com/v1/audio-analysis/3E7dfMvvCLUddWissuqMwr,202067,4,1
Anthony DiLorenzo,Dracula: Act I: Waltz of the Dead,0.201,0.0085,7,-32.981,0,0.0433,0.991,0.922,0.0846,0.0467,78.192,audio_features,5HobdSdB5tixqCZlRNrgee,spotify:track:5HobdSdB5tixqCZlRNrgee,https://api.spotify.com/v1/tracks/5HobdSdB5tixqCZlRNrgee,https://api.spotify.com/v1/audio-analysis/5HobdSdB5tixqCZlRNrgee,186133,4,1
Kings of Leon,Sex on Fire,0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398,audio_features,5A1FmxbYVRZKy4nc16MAue,spotify:track:5A1FmxbYVRZKy4nc16MAue,https://api.spotify.com/v1/tracks/5A1FmxbYVRZKy4nc16MAue,https://api.spotify.com/v1/audio-analysis/5A1FmxbYVRZKy4nc16MAue,203347,4,1
Kygo,Born To Be Yours,0.688,0.688,3,-5.84,1,0.0357,0.3,0,0.0982,0.451,114.011,audio_features,0kHyKhJMukHEPfeh8s7rdM,spotify:track:0kHyKhJMukHEPfeh8s7rdM,https://api.spotify.com/v1/tracks/0kHyKhJMukHEPfeh8s7rdM,https://api.spotify.com/v1/audio-analysis/0kHyKhJMukHEPfeh8s7rdM,193321,4,1
Klingande,Pumped Up,0.732,0.734,0,-6.423,1,0.107,0.00719,1.49e-05,0.34,0.643,123.033,audio_features,4BM4ml3TgBFALLaCaJtVhi,spotify:track:4BM4ml3TgBFALLaCaJtVhi,https://api.spotify.com/v1/tracks/4BM4ml3TgBFALLaCaJtVhi,https://api.spotify.com/v1/audio-analysis/4BM4ml3TgBFALLaCaJtVhi,177073,4,1
Barry White,"Can't Get Enough Of Your Love, Babe",0.765,0.711,5,-10.535,1,0.0724,0.187,0.0233,0.287,0.768,110.736,audio_features,25ZqWm3mpw3NKzmFFGG2aE,spotify:track:25ZqWm3mpw3NKzmFFGG2aE,https://api.spotify.com/v1/tracks/25ZqWm3mpw3NKzmFFGG2aE,https://api.spotify.com/v1/audio-analysis/25ZqWm3mpw3NKzmFFGG2aE,242360,4,1
Peking Duk,Fire,0.679,0.69,1,-2.744,0,0.054,0.0257,8.92e-06,0.07,0.648,99.949,audio_features,3BZkEOJwKUYRlkLWZB1izC,spotify:track:3BZkEOJwKUYRlkLWZB1izC,https://api.spotify.com/v1/tracks/3BZkEOJwKUYRlkLWZB1izC,https://api.spotify.com/v1/audio-analysis/3BZkEOJwKUYRlkLWZB1izC,226350,4,1
Ed Sheeran,Autumn Leaves,0.555,0.257,10,-12.637,1,0.0299,0.892,1.42e-06,0.124,0.431,89.013,audio_features,7iBSkXB0pTvZasOLf0Qxk9,spotify:track:7iBSkXB0pTvZasOLf0Qxk9,https://api.spotify.com/v1/tracks/7iBSkXB0pTvZasOLf0Qxk9,https://api.spotify.com/v1/audio-analysis/7iBSkXB0pTvZasOLf0Qxk9,200756,4,0
Billy Joe Royal,Down in the Boondocks,0.675,0.588,9,-11.031,1,0.0457,0.492,9.45e-06,0.0953,0.94,82.949,audio_features,2wTdZ6wy0AJp5LcYzWcVt5,spotify:track:2wTdZ6wy0AJp5LcYzWcVt5,https://api.spotify.com/v1/tracks/2wTdZ6wy0AJp5LcYzWcVt5,https://api.spotify.com/v1/audio-analysis/2wTdZ6wy0AJp5LcYzWcVt5,153147,4,0
A Fine Frenzy,Almost Lover,0.549,0.24,0,-7.778,1,0.0338,0.947,0,0.106,0.167,119.58,audio_features,3GSYWQNnSdovwC2H8HpziA,spotify:track:3GSYWQNnSdovwC2H8HpziA,https://api.spotify.com/v1/tracks/3GSYWQNnSdovwC2H8HpziA,https://api.spotify.com/v1/audio-analysis/3GSYWQNnSdovwC2H8HpziA,268800,4,0
Skrillex,Where Are Ü Now (with Justin Bieber),0.476,0.742,7,-5.106,1,0.0587,0.045,2.85e-06,0.066,0.193,139.808,audio_features,6v0rN9K7K2bVY9HRIDNNpZ,spotify:track:6v0rN9K7K2bVY9HRIDNNpZ,https://api.spotify.com/v1/tracks/6v0rN9K7K2bVY9HRIDNNpZ,https://api.spotify.com/v1/audio-analysis/6v0rN9K7K2bVY9HRIDNNpZ,251293,4,1
Gene Autry,Frosty the Snowman - 78rpm Version,0.628,0.241,8,-11.133,1,0.0411,0.848,0,0.0523,0.963,172.127,audio_features,34kOz4i1Eqk88i3cn4vTEO,spotify:track:34kOz4i1Eqk88i3cn4vTEO,https://api.spotify.com/v1/tracks/34kOz4i1Eqk88i3cn4vTEO,https://api.spotify.com/v1/audio-analysis/34kOz4i1Eqk88i3cn4vTEO,173493,4,1
Mark Dinning,Teen Angel,0.57,0.0636,0,-18.548,1,0.0459,0.936,0,0.122,0.282,101.517,audio_features,36NPEs4S7ik50NrlzaqoIJ,spotify:track:36NPEs4S7ik50NrlzaqoIJ,https://api.spotify.com/v1/tracks/36NPEs4S7ik50NrlzaqoIJ,https://api.spotify.com/v1/audio-analysis/36NPEs4S7ik50NrlzaqoIJ,159893,4,0
Daft Punk,Harder Better Faster Stronger,0.817,0.716,6,-8.898,0,0.144,0.0427,0.00263,0.358,0.692,123.475,audio_features,3mJniN9tHOtKru4vhsuiHu,spotify:track:3mJniN9tHOtKru4vhsuiHu,https://api.spotify.com/v1/tracks/3mJniN9tHOtKru4vhsuiHu,https://api.spotify.com/v1/audio-analysis/3mJniN9tHOtKru4vhsuiHu,224693,4,1
Jackson Browne,These Days,0.471,0.357,5,-11.333,1,0.0283,0.515,0.00363,0.114,0.278,138.255,audio_features,2dcoDVcOc9hGPbtZFtpcw3,spotify:track:2dcoDVcOc9hGPbtZFtpcw3,https://api.spotify.com/v1/tracks/2dcoDVcOc9hGPbtZFtpcw3,https://api.spotify.com/v1/audio-analysis/2dcoDVcOc9hGPbtZFtpcw3,284840,4,0
Danny Gokey,My Best Days Are Ahead Of Me,0.615,0.822,11,-4.499,1,0.0399,0.109,0,0.127,0.398,119.997,audio_features,5w7GCrY0J4oTI9jWlma82d,spotify:track:5w7GCrY0J4oTI9jWlma82d,https://api.spotify.com/v1/tracks/5w7GCrY0J4oTI9jWlma82d,https://api.spotify.com/v1/audio-analysis/5w7GCrY0J4oTI9jWlma82d,186133,4,1
The Who,"Love, Reign O'er Me",0.295,0.72,1,-9.51,1,0.0634,0.198,0.0467,0.0941,0.222,116.229,audio_features,4Mqs0h95KAeNiGp7u4udlt,spotify:track:4Mqs0h95KAeNiGp7u4udlt,https://api.spotify.com/v1/tracks/4Mqs0h95KAeNiGp7u4udlt,https://api.spotify.com/v1/audio-analysis/4Mqs0h95KAeNiGp7u4udlt,349600,4,0
Ed Sheeran,Perfect Symphony (Ed Sheeran & Andrea Bocelli),0.544,0.417,8,-4.387,1,0.0247,0.586,0,0.085,0.207,95.156,audio_features,3zl7j5ua8mF4JDYuxrfo01,spotify:track:3zl7j5ua8mF4JDYuxrfo01,https://api.spotify.com/v1/tracks/3zl7j5ua8mF4JDYuxrfo01,https://api.spotify.com/v1/audio-analysis/3zl7j5ua8mF4JDYuxrfo01,265363,3,0
Dancetech,Ride on Time - Nightcore Edit,0.424,0.924,0,-5.606,1,0.0509,0.00109,0.0797,0.137,0.279,170.426,audio_features,5HkwGbLEgGWKz0aiQTQBaQ,spotify:track:5HkwGbLEgGWKz0aiQTQBaQ,https://api.spotify.com/v1/tracks/5HkwGbLEgGWKz0aiQTQBaQ,https://api.spotify.com/v1/audio-analysis/5HkwGbLEgGWKz0aiQTQBaQ,205833,4,1
Rachel Platten,Shivers,0.838,0.724,0,-3.025,1,0.0754,0.0934,1.73e-06,0.0522,0.385,112.992,audio_features,5yjOhc3JKrznGouRHMagoJ,spotify:track:5yjOhc3JKrznGouRHMagoJ,https://api.spotify.com/v1/tracks/5yjOhc3JKrznGouRHMagoJ,https://api.spotify.com/v1/audio-analysis/5yjOhc3JKrznGouRHMagoJ,175333,4,1
2 Brothers On The 4th Floor,Come Take My Hand,0.553,0.818,7,-8.132,1,0.0525,0.00439,0.458,0.24,0.18,167.992,audio_features,6rVwEmUZ7i2b7zHw8L3wog,spotify:track:6rVwEmUZ7i2b7zHw8L3wog,https://api.spotify.com/v1/tracks/6rVwEmUZ7i2b7zHw8L3wog,https://api.spotify.com/v1/audio-analysis/6rVwEmUZ7i2b7zHw8L3wog,314067,4,1
Radiohead,Fake Plastic Trees,0.454,0.229,2,-12.592,1,0.0297,0.167,0.102,0.202,0.134,73.552,audio_features,045sp2JToyTaaKyXkGejPy,spotify:track:045sp2JToyTaaKyXkGejPy,https://api.spotify.com/v1/tracks/045sp2JToyTaaKyXkGejPy,https://api.spotify.com/v1/audio-analysis/045sp2JToyTaaKyXkGejPy,290707,4,0
Childish Gambino,Sober,0.701,0.6,0,-6.515,1,0.0311,0.115,5.01e-05,0.513,0.446,98.029,audio_features,0PwKsFzNiOTnAus6fj7zJn,spotify:track:0PwKsFzNiOTnAus6fj7zJn,https://api.spotify.com/v1/tracks/0PwKsFzNiOTnAus6fj7zJn,https://api.spotify.com/v1/audio-analysis/0PwKsFzNiOTnAus6fj7zJn,252013,4,1
Alexina Louie,Demon Gate: II. Windspirit,0.168,0.0503,1,-30.004,1,0.0425,0.776,0.748,0.109,0.038,132.121,audio_features,7igHLIjwCaStv2w3ptvH9z,spotify:track:7igHLIjwCaStv2w3ptvH9z,https://api.spotify.com/v1/tracks/7igHLIjwCaStv2w3ptvH9z,https://api.spotify.com/v1/audio-analysis/7igHLIjwCaStv2w3ptvH9z,370693,4,1
Pharrell Williams,Sangria Wine,0.831,0.713,1,-3.646,0,0.094,0.181,0,0.0572,0.69,132.109,audio_features,6XlSyYFTU1nodeWwwzVgTV,spotify:track:6XlSyYFTU1nodeWwwzVgTV,https://api.spotify.com/v1/tracks/6XlSyYFTU1nodeWwwzVgTV,https://api.spotify.com/v1/audio-analysis/6XlSyYFTU1nodeWwwzVgTV,202853,4,1
Republica,Ready To Go,0.559,0.953,2,-4.657,1,0.0568,0.000283,0.188,0.187,0.236,130.053,audio_features,5Qt8U8Suu7MFH1VcJr17Td,spotify:track:5Qt8U8Suu7MFH1VcJr17Td,https://api.spotify.com/v1/tracks/5Qt8U8Suu7MFH1VcJr17Td,https://api.spotify.com/v1/audio-analysis/5Qt8U8Suu7MFH1VcJr17Td,301067,4,1
Camila Cabello,Consequences - orchestra,0.547,0.289,0,-8.131,1,0.0348,0.645,0,0.148,0.213,104.851,audio_features,1ArLnG0bHaHPXqf08sEKM0,spotify:track:1ArLnG0bHaHPXqf08sEKM0,https://api.spotify.com/v1/tracks/1ArLnG0bHaHPXqf08sEKM0,https://api.spotify.com/v1/audio-analysis/1ArLnG0bHaHPXqf08sEKM0,181913,3,0
Sia,Clap Your Hands,0.699,0.87,0,-4.925,1,0.0546,0.000532,0.0219,0.359,0.778,120.033,audio_features,18cST7DK31Ab2rTH1POP6A,spotify:track:18cST7DK31Ab2rTH1POP6A,https://api.spotify.com/v1/tracks/18cST7DK31Ab2rTH1POP6A,https://api.spotify.com/v1/audio-analysis/18cST7DK31Ab2rTH1POP6A,238467,4,1
Reba McEntire,For My Broken Heart,0.591,0.513,7,-11.587,0,0.0858,0.526,4.5e-06,0.104,0.36,86.063,audio_features,2MiXC2LfpsoeUP5RvMGEQ3,spotify:track:2MiXC2LfpsoeUP5RvMGEQ3,https://api.spotify.com/v1/tracks/2MiXC2LfpsoeUP5RvMGEQ3,https://api.spotify.com/v1/audio-analysis/2MiXC2LfpsoeUP5RvMGEQ3,257267,4,0
